Pays,geo,Continent,Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (10^9 m3/year),Municipal water withdrawal (10^9 m3/year),Total water withdrawal (10^9 m3/year),Total water withdrawal per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total renewable water resources per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year).1,Water resources: total external renewable (10^9 m3/year).1,Total renewable water resources (10^9 m3/year).1,Dependency ratio (%).1,Total renewable water resources per capita (m3/inhab/year).1,Produced municipal wastewater (10^9 m3/year),Collected municipal wastewater (10^9 m3/year),Treated municipal wastewater (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year),Long-term average annual precipitation in depth (mm/year),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year).2,Fresh surface water withdrawal (primary and secondary) (10^9 m3/year),Fresh groundwater withdrawal (primary and secondary) (10^9 m3/year),Total freshwater withdrawal (primary and secondary) (10^9 m3/year),Desalinated water produced (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year).1,codes
Bosnia and Herzegovina,"43.915886, 17.67907600000001",Europe,,0.0488,0.3218,0.3279,86.06,35.5,2.0,37.5,5.332999999999999,9843.0,35.5,2.0,37.5,5.332999999999999,9843.0,0.0638,,0.0029,,1028.0,52.64,34.34,11.57,10.41,35.5,0.1816,0.1463,0.3279,,,BIH
Bulgaria,"42.733883, 25.485829999999964",Europe,0.8288,3.9010000000000002,0.8996,5.629,787.3,21.0,0.3,21.3,1.4080000000000001,2979.0,21.0,0.3,21.3,1.4080000000000001,2979.0,0.44799999999999995,,,,608.0,67.49,20.1,6.4,5.5,21.0,5.071000000000001,0.5584,5.629,,,BGR
Croatia,"45.1, 15.200000100000011",Europe,0.0086,0.126,0.5079,0.6338,149.5,37.7,67.8,105.5,64.27,24882.0,37.7,67.8,105.5,64.27,24882.0,0.363,,0.268,,1113.0,62.98,27.2,11.0,0.5,37.7,0.1894,0.4444,0.6338,,,HRV
Cyprus,"35.126413, 33.429858999999965",Europe,0.1676,0.006,0.0841,0.2553,219.1,0.78,0.0,0.78,0.0,669.5,0.78,0.0,0.78,0.0,669.5,0.024,0.023,0.023,0.022,498.0,4.606,0.56,0.41,0.19,0.78,0.0668,0.14,0.2218,0.0335,0.022000000000000002,CYP
Czechia,"49.81749199999999, 15.472962000000052",Europe,0.044000000000000004,1.514,0.9585,1.65,156.5,13.15,0.0,13.15,0.0,1247.0,13.15,0.0,13.15,0.0,1247.0,1.2990000000000002,,,,677.0,53.39,13.15,1.43,1.43,13.15,1.2790000000000001,0.3713,1.65,0.0002,,CZE
Denmark,"56.26392, 9.50178500000004",Europe,0.16399999999999998,0.128,0.36,0.652,116.4,6.0,0.0,6.0,0.0,1058.0,6.0,0.0,6.0,0.0,1058.0,0.5,0.24,,,703.0,30.17,3.7,4.3,2.0,6.0,0.008,0.629,0.637,0.015,,DNK
Estonia,"58.595272, 25.013607099999945",Europe,0.005,1.655,0.06,1.72,1310.0,12.71,0.096,12.81,0.7496,9756.0,12.71,0.096,12.81,0.7496,9756.0,0.289,0.311,0.307,,626.0,28.31,11.71,4.0,3.0,12.71,1.521,0.19899999999999998,1.72,,,EST
Finland,"61.92410999999999, 25.748151099999973",Europe,0.05,2.124,0.415,6.562,1241.0,107.0,3.0,110.0,2.727,19989.0,107.0,3.0,110.0,2.727,19989.0,,,,,536.0,181.4,106.8,2.2,2.0,107.0,6.297999999999999,0.264,6.562,0.0001,,FIN
France,"46.227638, 2.213749000000007",Europe,3.1430000000000002,21.61,5.481,30.23,475.6,200.0,11.0,211.0,5.212999999999999,3277.0,200.0,11.0,211.0,5.212999999999999,3277.0,,,,,867.0,476.1,198.0,120.0,118.0,200.0,25.33,5.662000000000001,29.81,0.0117,0.41100000000000003,FRA
Germany,"51.165691, 10.451526000000058",Europe,0.2109,32.6,5.409,33.04,410.5,107.0,47.0,154.0,30.52,1909.0,107.0,47.0,154.0,30.52,1909.0,4.0,3.77,3.77,0.411,700.0,250.2,106.3,45.7,45.0,107.0,27.15,5.841,32.99,,0.042,DEU
Greece,"39.074208, 21.824311999999964",Europe,7.917999999999999,0.3255,1.2930000000000001,9.63,865.2,58.0,10.04,68.4,15.2,6244.0,58.0,10.4,68.4,15.2,6244.0,5.287000000000001,5.212999999999999,5.183,0.042,652.0,86.04,55.5,10.3,7.8,58.0,5.024,3.014,9.593,0.01,0.10400000000000001,GRC
Hungary,"47.162494, 19.503304100000037",Europe,0.322,4.013,0.5945,5.051,507.2,6.0,98.0,104.0,94.23,10553.0,,,,,,0.2167,,,,589.0,54.79,6.0,6.0,6.0,6.0,4.516,0.535,5.051,0.0002,,HUN
Iceland,"64.963051, -19.020835000000034",Europe,0.0003,0.198,0.08,0.2783,844.9,170.0,0.0,170.0,0.0,516090.0,170.0,0.0,170.0,0.0,516090.0,,,,,1940.0,199.8,166.0,24.0,20.0,170.0,0.019,2.971,0.2783,,,ISL
Ireland,"53.1423672, -7.692053600000008",Europe,0.179,0.051,0.628,0.757,162.2,49.0,3.0,52.0,5.769,11092.0,49.0,3.0,52.0,5.769,11092.0,0.7829999999999999,0.757,0.723,,1118.0,78.57,48.2,10.8,10.0,49.0,0.561,0.196,0.757,0.0002,,IRL
Italy,"41.87194, 12.567379999999957",Europe,12.89,16.29,9.451,53.75,899.8,182.5,8.8,191.3,4.6,3199.0,182.5,8.8,191.3,4.6,3199.0,3.926,,3.902,0.045,832.0,250.7,170.5,43.0,31.0,182.5,,,53.75,0.0973,0.045,ITA
Latvia,"56.879635, 24.60318899999993",Europe,0.0363,0.0522,0.1593,0.2478,125.8,16.94,18.0,34.94,51.52,17736.0,16.94,18.0,34.94,51.52,17736.0,0.23800000000000002,,0.128,0.012,667.0,43.01,16.54,4.7,4.3,16.94,0.0879,0.1479,0.23600000000000002,,0.012,LVA
Lithuania,"55.169438, 23.88127499999996",Europe,0.0656,0.4159,0.1499,0.6314,209.4,,,,,,15.46,2018-04-09 00:00:00,24.5,36.9,8513.0,,,0.128,0.005,656.0,42.83,15.36,1.1,1.0,15.46,0.4518,0.1746,0.6264,,0.005,LTU
Luxembourg,"49.815273, 6.129583000000025",Europe,0.0003,0.002,0.0408,0.0431,76.0,,,,,,1.0,2.5,3.5,71.43,6172.0,0.0208,0.04,0.04,,934.0,2.419,1.0,0.08,0.08,1.0,0.018000000000000002,0.0251,0.0431,,,LUX
Malta,"35.937496, 14.375415999999973",Europe,0.028999999999999998,0.001,0.0153,0.0453,108.2,15.46,9.4,24.5,36.9,8513.0,0.0505,0.0,0.0505,0.0,120.6,0.0212,,0.002,0.004,560.0,0.1792,0.0005,0.05,0.0,0.0505,0.0,0.0224,0.0224,0.0189,0.004,MLT
Netherlands,"52.132633, 5.2912659999999505",Europe,0.0602,9.446,1.217,10.72,640.0,1.0,2.5,3.5,71.43,6172.0,11.0,80.0,91.0,87.91,5377.0,1.9340000000000002,1.875,1.875,0.008,778.0,32.32,11.0,4.5,4.5,11.0,9.776,0.9403,10.72,,0.008,NLD
Norway,"60.47202399999999, 8.46894599999996",Europe,0.8449,1.071,0.838,3.0260000000000002,641.5,0.0505,0.0,0.0505,0.0,120.6,382.0,11.0,393.0,2.799,75417.0,0.93,0.883,,,1414.0,544.6,376.0,96.0,90.0,382.0,,,3.0260000000000002,0.0001,,NOR
Poland,"51.919438, 19.14513599999998",Europe,1.102,9.425,2.292,11.48,297.3,11.0,80.0,91.0,87.91,5377.0,53.6,6.9,60.5,11.4,1567.0,2.168,2.089,1.356,0.003,600.0,187.6,53.1,12.5,12.0,53.6,8.824,2.6439999999999997,11.47,0.006999999999999999,0.003,POL
Portugal,"39.39987199999999, -8.224454000000037",Europe,8.767000000000001,1.4969999999999999,0.9105,9.151,867.3,382.0,11.0,393.0,2.799,75417.0,38.0,39.4,77.4,50.9,,0.5770000000000001,0.54,0.27,0.003,854.0,78.76,38.0,4.0,4.0,38.0,4.352,4.794,9.146,0.0016,0.003,PRT
Republic of Moldova,"47.411631, 28.369885000000068",Europe,0.038,0.8825,0.146,1.065,258.0,53.6,6.9,60.5,11.4,1567.0,1.62,10.65,12.27,86.8,3015.0,0.0525,,0.296,,450.0,15.23,1.32,1.3,1.0,1.62,,,1.065,,,NaN
Romania,"45.943161, 24.966760000000022",Europe,1.135,4.303,0.98,6.417999999999999,328.9,38.0,39.4,77.4,50.9,7478.0,42.38,169.6,212.0,80.01,10866.0,4.982,0.795,0.373,,637.0,151.9,42.0,8.38,8.0,42.38,5.837000000000001,0.581,6.417999999999999,,,ROU
Russian Federation,"61.52401, 105.31875600000001",Europe,13.2,39.6,13.4,61.0,425.2,1.62,10.65,12.27,86.8,3015.0,4312.0,213.4,4525.0,4.716,31543.0,12.32,11.33,,,460.0,7865.0,4036.0,788.0,512.0,4312.0,,,61.0,,,RUS
Serbia,"44.016521, 21.005858999999987",Europe,0.1167,,,4.15,468.9,42.38,169.6,212.0,80.01,10866.0,8.407,,162.2,,18326.0,0.449,,,,,49.98,,,,8.407,3.673,0.4777,4.15,,,SRB
Slovakia,"48.669026, 19.69902400000001",Europe,0.0229,0.3288,0.3058,0.5593,103.1,4312.0,213.4,4525.0,4.716,31543.0,12.6,37.5,50.1,74.85,9233.0,0.56,,,,824.0,40.41,12.6,1.73,1.73,12.6,0.23800000000000002,0.3213,0.5593,,,SVK
Slovenia,"46.151241, 14.995462999999972",Europe,0.0036,0.988,0.16399999999999998,1.156,559.0,8.407,,162.2,,18326.0,18.67,13.2,31.87,41.42,15411.0,0.183,,0.126,,1162.0,23.55,18.52,13.5,13.35,18.67,0.9745,0.1811,1.156,,,SVN
Spain,"40.46366700000001, -3.7492200000000366",Europe,25.47,6.572,5.308,37.35,800.9,12.6,37.5,50.1,74.85,9233.0,111.2,0.3,111.5,0.2691,2418.0,3.1830000000000003,,3.16,0.496,636.0,321.8,109.5,29.9,28.2,111.2,29.87,6.8839999999999995,36.75,0.1002,0.496,ESP
Sweden,"60.12816100000001, 18.643501000000015",Europe,0.098,1.5719999999999998,1.0190000000000001,2.6889999999999996,281.8,18.67,13.2,31.87,41.42,15411.0,171.0,3.0,174.0,1.724,17793.0,0.6709999999999999,,0.436,,624.0,279.2,170.0,20.0,19.0,171.0,2.3409999999999997,0.348,2.6889999999999996,0.0002,,SWE
Switzerland,"46.818188, 8.227511999999933",Europe,0.1601,0.6427,0.917,2.005,249.9,111.2,0.3,111.5,0.2691,2418.0,40.4,13.1,53.5,24.49,6447.0,1.409,1.409,1.084,,1537.0,63.46,40.4,2.5,2.5,40.4,0.9995,1.005,2.005,,,CHE
The former Yugoslav Republic of Macedonia,"41.608635, 21.745274999999992",Europe,0.1255,0.107,0.2317,0.5512,268.7,171.0,3.0,174.0,1.724,17793.0,5.4,1.0,6.4,15.62,3080.0,0.0412,,,,619.0,15.91,5.4,,,5.4,0.885,0.1621,0.5512,,,NaN
Ukraine,"48.379433, 31.16557990000001",Europe,4.454,7.126,3.266,14.85,327.7,40.4,13.1,53.5,24.49,6447.0,55.1,120.2,175.3,68.57,3911.0,2.154,,1.416,,565.0,341.0,50.1,22.0,17.0,55.1,11.88,2.97,14.85,,,UKR
United Kingdom,"55.378051, -3.43597299999999",Europe,1.0490000000000002,1.193,5.8660000000000005,8.214,129.2,5.4,1.0,6.4,15.62,3080.0,145.0,2.0,147.0,1.361,2271.0,4.0889999999999995,4.048,4.048,0.164,1220.0,297.2,144.2,9.8,9.0,145.0,5.971,2.046,8.017000000000001,0.0333,0.16399999999999998,NaN
Australia,"-25.274398, 133.77513599999997",Oceania,10.59,2.7680000000000002,4.015,17.37,724.7,55.1,120.2,175.3,68.57,3911.0,492.0,0.0,492.0,0.0,20527.0,2.094,1.828,2.0,0.42,534.0,4134.0,440.0,72.0,20.0,492.0,,4.962,16.76,0.14400000000000002,0.42,AUS
Fiji,"-17.713371, 178.06503199999997",Oceania,0.05,0.0096,0.0253,0.0849,101.7,492.0,0.0,492.0,,,28.55,0.0,28.55,0.0,32003.0,,,,,2592.0,47.36,28.55,5.273,5.273,28.55,,,0.0849,,,FJI
New Zealand,"-40.900557, 174.88597100000004",Oceania,3.207,1.1840000000000002,0.81,5.2010000000000005,1172.0,,0.0,,0.0,,327.0,0.0,327.0,0.0,72201.0,,,,,1732.0,463.7,,,,327.0,3.5269999999999997,1.6740000000000002,5.2010000000000005,,,NZL
